FID,STATION_NAME,LOCAL_TRIP_START_TIME,IMOS_SITE_CODE,NRS_TRIP_CODE,NRS_SAMPLE_CODE,UTC_TRIP_START_TIME,LATITUDE,LONGITUDE,MG_PER_M3,geom
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d76,North Stradbroke,2016-10-20 09:40,NRSNSI,NRSNSI20161019,NRSNSI20161019_ZOOBIOWC,2016-10-19T23:40:00,-27.345,153.562,13.0201,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d75,North Stradbroke,2016-11-16 10:15,NRSNSI,NRSNSI20161116,NRSNSI20161116_ZOOBIOWC,2016-11-16T00:15:00,-27.345,153.562,13.1101,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d74,North Stradbroke,2016-12-15 10:15,NRSNSI,NRSNSI20161215,NRSNSI20161215_ZOOBIOWC,2016-12-15T00:15:00,-27.345,153.562,42.0886,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d73,North Stradbroke,2017-01-17 10:30,NRSNSI,NRSNSI20170117,NRSNSI20170117_ZOOBIOWC,2017-01-17T00:30:00,-27.345,153.562,12.6729,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d72,North Stradbroke,2017-02-17 10:30,NRSNSI,NRSNSI20170217,NRSNSI20170217_ZOOBIOWC,2017-02-17T00:30:00,-27.345,153.562,18.2667,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d71,North Stradbroke,2017-04-24 11:00,NRSNSI,NRSNSI20170424,NRSNSI20170424_ZOOBIOWC,2017-04-24T01:00:00,-27.345,153.562,11.3034,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d70,North Stradbroke,2017-05-16 10:20,NRSNSI,NRSNSI20170516,NRSNSI20170516_ZOOBIOWC,2017-05-16T00:20:00,-27.345,153.562,10.4996,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d6f,North Stradbroke,2017-06-27 10:20,NRSNSI,NRSNSI20170627,NRSNSI20170627_ZOOBIOWC,2017-06-27T00:20:00,-27.345,153.562,9.2394,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d6e,North Stradbroke,2017-07-17 11:05,NRSNSI,NRSNSI20170717,NRSNSI20170717_ZOOBIOWC,2017-07-17T01:05:00,-27.345,153.562,9.7345,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d6d,North Stradbroke,2017-08-29 11:50,NRSNSI,NRSNSI20170829,NRSNSI20170829_ZOOBIOWC,2017-08-29T01:50:00,-27.345,153.562,10.2232,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d6c,North Stradbroke,2017-09-27 10:40,NRSNSI,NRSNSI20170927,NRSNSI20170927_ZOOBIOWC,2017-09-27T00:40:00,-27.345,153.562,16.087,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d6b,North Stradbroke,2017-10-23 10:25,NRSNSI,NRSNSI20171023,NRSNSI20171023_ZOOBIOWC,2017-10-23T00:25:00,-27.345,153.562,11.7689,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d6a,North Stradbroke,2017-11-16 10:30,NRSNSI,NRSNSI20171116,NRSNSI20171116_ZOOBIOWC,2017-11-16T00:30:00,-27.345,153.562,7.9214,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d69,North Stradbroke,2017-12-19 10:45,NRSNSI,NRSNSI20171219,NRSNSI20171219_ZOOBIOWC,2017-12-19T00:45:00,-27.345,153.562,8.2814,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d68,North Stradbroke,2018-01-23 10:20,NRSNSI,NRSNSI20180123,NRSNSI20180123_ZOOBIOWC,2018-01-23T00:20:00,-27.345,153.562,13.9138,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d67,North Stradbroke,2018-03-02 10:25,NRSNSI,NRSNSI20180302,NRSNSI20180302_ZOOBIOWC,2018-03-02T00:25:00,-27.345,153.562,10.2939,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d66,North Stradbroke,2018-03-20 10:40,NRSNSI,NRSNSI20180320,NRSNSI20180320_ZOOBIOWC,2018-03-20T00:40:00,-27.345,153.562,10.2939,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d65,North Stradbroke,2018-04-17 10:15,NRSNSI,NRSNSI20180417,NRSNSI20180417_ZOOBIOWC,2018-04-17T00:15:00,-27.345,153.562,9.413,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d64,North Stradbroke,2018-05-30 10:20,NRSNSI,NRSNSI20180530,NRSNSI20180530_ZOOBIOWC,2018-05-30T00:20:00,-27.345,153.562,9.6574,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d63,North Stradbroke,2018-07-18 10:20,NRSNSI,NRSNSI20180718,NRSNSI20180718_ZOOBIOWC,2018-07-18T00:20:00,-27.345,153.562,16.1063,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d62,North Stradbroke,2018-08-17 10:20,NRSNSI,NRSNSI20180817,NRSNSI20180817_ZOOBIOWC,2018-08-17T00:20:00,-27.345,153.562,11.8242,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d61,North Stradbroke,2018-09-13 10:20,NRSNSI,NRSNSI20180913,NRSNSI20180913_ZOOBIOWC,2018-09-13T00:20:00,-27.345,153.562,20.5685,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d60,North Stradbroke,2018-10-23 10:30,NRSNSI,NRSNSI20181023,NRSNSI20181023_ZOOBIOWC,2018-10-23T00:30:00,-27.345,153.562,15.1804,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d5f,North Stradbroke,2018-11-15 10:40,NRSNSI,NRSNSI20181115,NRSNSI20181115_ZOOBIOWC,2018-11-15T00:40:00,-27.345,153.562,15.1001,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d5e,North Stradbroke,2019-01-18 10:40,NRSNSI,NRSNSI20190118,NRSNSI20190118_ZOOBIOWC,2019-01-18T00:40:00,-27.345,153.562,15.284,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d5d,Port Hacking,2009-02-24 09:27,NRSPHB,NRSPHB20090223,NRSPHB20090223_ZOOBIOWC,2009-02-23T22:27:00,-34.1192,151.2267,140.0842,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d5c,Port Hacking,2009-03-19 09:39,NRSPHB,NRSPHB20090318,NRSPHB20090318_ZOOBIOWC,2009-03-18T22:39:00,-34.1192,151.2267,17.8478,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d5b,Port Hacking,2009-04-23 09:38,NRSPHB,NRSPHB20090422,NRSPHB20090422_ZOOBIOWC,2009-04-22T23:38:00,-34.1192,151.2267,39.0551,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d5a,Port Hacking,2009-05-19 09:25,NRSPHB,NRSPHB20090518,NRSPHB20090518_ZOOBIOWC,2009-05-18T23:25:00,-34.1192,151.2267,44.257,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d59,Port Hacking,2009-06-24 09:10,NRSPHB,NRSPHB20090623,NRSPHB20090623_ZOOBIOWC,2009-06-23T23:10:00,-34.1192,151.2267,3.3843,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d58,Port Hacking,2009-07-15 09:15,NRSPHB,NRSPHB20090714,NRSPHB20090714_ZOOBIOWC,2009-07-14T23:15:00,-34.1192,151.2267,2.7583,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d57,Port Hacking,2009-08-20 09:19,NRSPHB,NRSPHB20090819,NRSPHB20090819_ZOOBIOWC,2009-08-19T23:19:00,-34.1192,151.2267,9.4809,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d56,Port Hacking,2009-09-21 09:17,NRSPHB,NRSPHB20090920,NRSPHB20090920_ZOOBIOWC,2009-09-20T23:17:00,-34.1192,151.2267,15.9205,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d55,Port Hacking,2009-09-25 08:45,NRSPHB,NRSPHB20090924,NRSPHB20090924_ZOOBIOWC,2009-09-24T22:45:00,-34.1192,151.2267,32.3644,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d54,Port Hacking,2009-10-12 09:28,NRSPHB,NRSPHB20091011,NRSPHB20091011_ZOOBIOWC,2009-10-11T22:28:00,-34.1192,151.2267,93.3446,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d53,Port Hacking,2009-10-19 09:55,NRSPHB,NRSPHB20091018,NRSPHB20091018_ZOOBIOWC,2009-10-18T22:55:00,-34.1192,151.2267,19.8494,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d52,Port Hacking,2009-11-11 09:45,NRSPHB,NRSPHB20091110,NRSPHB20091110_ZOOBIOWC,2009-11-10T22:45:00,-34.1192,151.2267,37.9977,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d51,Port Hacking,2009-12-07 09:14,NRSPHB,NRSPHB20091206,NRSPHB20091206_ZOOBIOWC,2009-12-06T22:14:00,-34.1192,151.2267,65.5598,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d50,Port Hacking,2010-01-20 09:20,NRSPHB,NRSPHB20100119,NRSPHB20100119_ZOOBIOWC,2010-01-19T22:20:00,-34.1192,151.2267,63.7881,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d4f,Port Hacking,2010-02-19 09:05,NRSPHB,NRSPHB20100218,NRSPHB20100218_ZOOBIOWC,2010-02-18T22:05:00,-34.1192,151.2267,26.5118,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d4e,Port Hacking,2010-03-17 09:05,NRSPHB,NRSPHB20100316,NRSPHB20100316_ZOOBIOWC,2010-03-16T22:05:00,-34.1192,151.2267,30.8897,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d4d,Port Hacking,2010-04-14 09:18,NRSPHB,NRSPHB20100413,NRSPHB20100413_ZOOBIOWC,2010-04-13T23:18:00,-34.1192,151.2267,51.4322,POINT (151.22667 -34.11923)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d4c,Port Hacking,2010-05-11 09:13,NRSPHB,NRSPHB20100510,NRSPHB20100510_ZOOBIOWC,2010-05-10T23:13:00,-34.1192,151.2267,17.7806,POINT (151.22667 -34.11923)
